               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027606,            0.014965,           0.0041419,             0.90258,             0.88919,             0.92876,               0.611,            0.021771,           0.0094671,           0.0014072,            0.007927,            0.007927,            0.007927
                  36,            0.027357,            0.015079,           0.0040097,             0.92202,             0.90907,             0.93716,             0.61879,            0.021645,           0.0094571,           0.0014103,            0.007816,            0.007816,            0.007816
                  37,            0.027107,            0.015005,           0.0037644,             0.92134,             0.92236,             0.93946,             0.61667,            0.021607,           0.0094387,           0.0013461,           0.0077031,           0.0077031,           0.0077031
                  38,            0.026963,             0.01474,           0.0040768,             0.92906,             0.91784,             0.94389,              0.6234,             0.02148,           0.0093476,           0.0015703,           0.0075886,           0.0075886,           0.0075886
                  39,            0.026877,            0.015075,            0.003717,             0.93403,             0.91014,             0.94673,             0.63032,            0.021085,            0.009231,           0.0011241,           0.0074725,           0.0074725,           0.0074725
                  40,            0.026936,            0.014858,            0.003746,             0.93112,              0.9077,             0.94191,             0.63263,            0.020952,            0.009215,           0.0011448,            0.007355,            0.007355,            0.007355
                  41,            0.026665,            0.015075,           0.0036667,             0.93512,             0.91643,             0.94754,             0.63582,            0.020844,           0.0091256,           0.0010117,           0.0072361,           0.0072361,           0.0072361
                  42,            0.025893,            0.014493,           0.0034648,             0.93957,             0.93059,             0.95152,             0.64105,            0.020593,           0.0090592,           0.0010104,            0.007116,            0.007116,            0.007116
                  43,            0.026191,            0.014644,           0.0034893,             0.95421,             0.91849,             0.95373,             0.65474,            0.020488,           0.0090449,           0.0010997,           0.0069948,           0.0069948,           0.0069948
                  44,            0.025844,            0.014548,           0.0033866,             0.95863,             0.92968,             0.96197,             0.65931,            0.020168,           0.0088772,          0.00086644,           0.0068726,           0.0068726,           0.0068726
                  45,            0.025862,            0.014581,           0.0034631,             0.95575,             0.93214,             0.96177,             0.66158,            0.019983,           0.0088441,           0.0008232,           0.0067495,           0.0067495,           0.0067495
                  46,             0.02543,            0.014176,            0.003136,             0.95433,             0.92831,             0.96107,              0.6667,            0.019885,           0.0087857,          0.00080755,           0.0066257,           0.0066257,           0.0066257
                  47,            0.025717,             0.01459,           0.0035611,             0.95665,             0.92709,             0.96187,             0.66675,            0.019928,           0.0088153,          0.00080934,           0.0065013,           0.0065013,           0.0065013
                  48,            0.024904,            0.014152,            0.003024,             0.95692,             0.93853,             0.96577,             0.67666,            0.019519,           0.0087017,          0.00062474,           0.0063764,           0.0063764,           0.0063764
                  49,            0.024851,            0.013882,           0.0029436,             0.94641,             0.93739,             0.96538,             0.67337,            0.019277,            0.008642,          0.00063743,           0.0062512,           0.0062512,           0.0062512
                  50,             0.02493,             0.01406,           0.0029937,             0.94619,             0.94126,             0.96472,              0.6774,            0.019326,           0.0086178,          0.00066037,           0.0061256,           0.0061256,           0.0061256
